dfk_flurst,inj_well_id,inj_x_coord,inj_y_coord,ex_well_id,ex_x_coord,ex_y_coord,gwm,kf,fa,d_vel,st_distance,max_potential_pump,max_demand_pump,buildings_per_plot,plume_length,plume_width
8662/1592/11,53333,680159.867723948,5336203.41961086,72275,680148.537089173,5336185.40675985,9.0,0.0033671,6.2,3.719e-05,21.2801805915307,11.396302793266,0.594047700875099,1,29.7081046824296,8.99043290131276
8662/1582/11,64004,680150.583889496,5335942.5677281,82946,680146.995858914,5335934.91339905,8.5,0.00328311,6.4,4.111e-05,8.45356236556911,4.72635290434023,0.308768451869531,2,10.4362812594258,5.27686049899401
8662/1592/5,23188,680193.059263422,5336092.77182057,42130,680170.992348459,5336073.07674929,8.7,0.00333132,6.2,4.039e-05,29.5777715270739,16.6294749923409,0.985266094868735,1,58.9911206576213,12.7501990200681
8662/1658/4,53301,680298.124321845,5335996.84494211,72243,680287.538339801,5335975.39327693,8.5,0.00295712,6.7,3.812e-05,23.9214747628482,12.4016580042529,1.57162194033413,2,134.217886648656,19.3803252055326
8662/1653/0,54945,680256.303053726,5336168.28351725,73887,680231.299853722,5336157.07048532,8.8,0.00323242,5.9,4.805e-05,27.4024103966468,18.538936339389,0.611261545743835,1,21.838485410559,7.68611655725668
8662/1672/2,55109,680306.829182431,5335789.14729343,74051,680302.00520691,5335773.57615291,8.0,0.00262465,7.6,3.328e-05,16.3012624301594,6.94407697504902,0.341538918257757,1,18.2556095758464,7.01564331105022
8662/1435/3,135087,679873.043491683,5335956.66012634,154029,679859.081654033,5335937.21500838,8.5,0.003605,7.5,4.347e-05,23.9383692689257,14.1521724048347,0.729902442124105,2,34.8843290545804,9.75684417931238
8662/1575/9,150921,680218.186599348,5335836.19135834,8449,680212.534754753,5335833.63959368,8.2,0.00299066,7.3,3.759e-05,6.20119747766057,3.05831153299062,0.140630497414479,1,3.872005810542,3.18457661257557
8662/1657/3,147992,680241.600664568,5335996.73511414,5520,680239.753280237,5335971.96212499,8.5,0.00312164,6.4,3.958e-05,24.8417757065242,13.3720297615135,0.55669724840891,2,26.7443801573889,8.52184054955898
8662/1584/7,30620,680014.866518835,5336040.59135472,49562,680012.151568403,5336027.13109622,8.7,0.00353787,6.3,4.335e-05,13.731333318488,8.28592592704185,0.515650401750199,1,20.0870660319089,7.36571831367209
8662/1576/0,55020,680184.01222169,5335844.64178584,73962,680128.232804762,5335806.21911313,8.2,0.00309359,7.1,3.894e-05,67.7321572877727,34.6038714867906,3.72890976610979,1,501.422837497434,37.9227880339525
8662/1597/40,54749,680029.936300479,5336191.65974343,73691,680005.373986566,5336166.03731547,8.8,0.00345079,5.7,4.066e-05,35.4938879106537,20.3199952728563,0.529886599443119,1,22.6435926441131,7.82915915333367
8662/1573/8,45828,680224.70399579,5335802.31628273,64770,680229.95748642,5335784.49649186,8.1,0.00291974,7.2,3.668e-05,18.5780545416109,8.83150180599829,0.444229077963405,2,22.9712672041155,7.88666090299904
8662/1647/0,54930,680243.88244995,5336036.23747538,73872,680227.549306103,5336008.04263023,8.6,0.00316903,6.0,4.007e-05,32.584058691407,17.965650869082,0.423461074980111,1,17.1154984371034,6.78895155905037
8662/1584/8,53059,680007.741565859,5336057.22426239,72001,680010.769168837,5336045.60396275,8.7,0.00352841,6.1,4.312e-05,12.0082364840667,7.20770858812595,0.958099386833731,1,51.2819858291618,11.8723963692395
8662/1584/5,31757,680022.266731466,5336005.15999491,50699,680023.517203012,5335993.04024682,8.7,0.00353595,6.2,4.35e-05,12.184086873104,7.37770828340193,0.345601858790772,1,10.9647147601817,5.41129997207004
8662/1573/12,124250,680251.518891828,5335802.65123188,143192,680235.231016299,5335792.62394956,8.1,0.00285773,7.7,3.568e-05,19.1269778023147,8.84455936110619,0.937222761734288,1,73.3745486106137,14.2488815827677
8662/1597/15,54909,679962.812999791,5336215.16751766,73851,679941.281591856,5336199.51044866,8.7,0.00343398,5.2,4.315e-05,26.6222714492272,15.9906141014354,0.415355176610979,1,14.6226256008826,6.26588685923599
8662/1583/0,54923,680026.665097356,5335968.85640289,73865,680006.306063519,5335939.47818473,8.6,0.00354227,6.6,4.407e-05,35.7431106802634,21.6747366944659,1.1193696358393,1,63.7740544987432,13.2666617692827
8662/1586/13,63782,680073.550817819,5335982.16706659,82724,680071.70776917,5335972.55600153,8.6,0.00347162,6.6,4.298e-05,9.78618413414806,5.78759627061901,0.68050614797136,1,31.3867815194135,9.24568998872632
